date,delay,distance,origin,destination
03261150,-3,304,PHX,SAN
03221810,67,108,ISP,PVD
01111730,-2,220,ISP,BWI
03131620,-17,236,LAS,LAX
02010930,-3,1751,BNA,ONT
02071845,35,997,MDW,TPA
03131738,74,564,SEA,RNO
03142110,10,842,BWI,TPA
03191250,0,484,JAX,BNA
03251220,-6,237,TUL,DAL
02231134,9,368,LAS,SLC
03220800,0,1069,LAS,SAT
02031550,0,338,CMH,BNA
02181605,0,287,BOI,GEG
01161800,56,480,SAN,SMF
01291925,0,308,LAX,SJC
03092250,20,303,MSY,HOU
02251745,15,303,MSY,HOU
01281220,30,293,DAL,LBB
01180925,-3,829,CMH,TPA
02090950,-3,174,PBI,TPA
03140600,-3,405,MCI,MDW
02202215,-5,308,SJC,LAX
02012115,0,256,PHX,LAS
01151545,5,307,MDW,CLE
03091929,11,323,BHM,SDF
03171250,0,276,HOU,HRL
02061810,-1,777,BDL,MDW
02092020,45,296,LIT,DAL
02220821,4,1020,HOU,PHX
01052050,0,670,HOU,BNA
03182110,-2,229,IND,STL
01200845,0,293,LBB,DAL
01030840,3,1069,SAT,LAS
03051800,-6,271,MDW,SDF
01281720,0,423,OMA,MDW
01222210,-4,423,OMA,MDW
03110945,-9,328,PVD,BWI
01301420,7,423,OMA,MDW
02110630,-4,441,MAF,HOU
02191310,-10,478,BHM,MCO
02251748,55,370,LAX,PHX
02252020,-12,399,BOI,SEA
01040800,16,223,BUR,LAS
01061950,-7,333,SJC,ONT
03171220,0,1242,LAX,AUS
03132140,-5,325,BUR,OAK
02091220,-18,1455,PHX,BHM
01221830,0,570,BHM,MDW
01080800,0,972,ISP,MCO
01181440,0,288,BWI,ALB
02160955,-7,775,LAS,LBB
01131620,13,258,SAN,LAS
03170720,-2,373,LAX,SMF
03200620,-3,291,BOI,SLC
02122122,14,842,BWI,TPA
01051625,-2,192,SAT,HOU
02271450,18,646,PHX,OAK
02211300,12,446,OAK,SAN
03181035,-2,296,LIT,DAL
03151220,-22,1751,ONT,BNA
01130900,14,251,STL,MDW
03250905,3,405,MDW,MCI
01051940,6,258,LAS,SAN
02211245,4,1137,PVD,TPA
03201535,-32,2237,LAS,ALB
03021630,5,838,TPA,IND
02151140,-7,288,BWI,ALB
03121025,-2,296,STL,LIT
02131638,44,687,STL,HOU
01021321,19,580,DAL,ABQ
01131324,-7,646,OAK,PHX
01250725,-14,866,LAS,SEA
01290845,11,670,BNA,HOU
01061540,3,148,AUS,HOU
02051755,-12,304,PHX,SAN
03281710,-2,321,MSY,BHM
02100850,-5,2039,LAS,MCO
01200845,135,368,SLC,LAS
02251535,17,142,MCO,PBI
03241205,-13,373,LAX,SMF
03221515,-6,296,DAL,LIT
03270805,-5,325,BUR,OAK
02061430,-1,337,LAX,OAK
01102120,-4,281,BWI,BUF
01130930,10,223,ELP,ABQ
01081515,7,229,STL,IND
03070615,-5,562,ELP,DAL
02221720,-13,934,ABQ,STL
03101245,0,178,FLL,MCO
03232233,13,251,STL,MDW
02280800,5,407,OAK,LAS
03092052,65,621,PHX,SJC
02121505,-10,584,ELP,LAS
02270640,4,417,SAN,SJC
01221500,-11,148,HOU,AUS
02071830,-10,611,MDW,BWI
02211225,-5,1797,BNA,LAX
01251625,-10,570,MDW,BHM
01231440,4,307,CLE,MDW
02081420,0,616,BNA,MCO
03062139,20,325,PHX,ONT
02181320,-6,671,SEA,OAK
02280730,0,223,ELP,ABQ
02051745,-5,197,FLL,TPA
01251840,0,590,SLC,LAX
02250725,-5,281,BUF,BWI
01171625,2,361,ONT,OAK
01142055,35,328,BWI,PVD
01041429,7,495,BWI,SDF
01122150,49,237,DAL,TUL
03202030,-10,1048,MCI,TPA
03170625,-8,399,SEA,BOI
02071515,12,276,HRL,HOU
03061740,-10,328,PVD,BWI
01121140,-17,967,BWI,MCI
02020735,-10,294,AUS,MAF
03231503,-3,569,PDX,SJC
03151210,-1,323,SDF,BHM
01281722,14,1262,PHX,STL
02162000,35,647,PHX,SMF
02051810,-6,714,LAX,ELP
01251914,-7,251,MDW,STL
03152005,0,217,IAH,DAL
03230620,-3,358,SMF,BUR
02151416,8,337,OAK,LAX
01281045,-5,325,BUR,OAK
02071640,35,833,PHX,OKC
02241300,-5,178,MCO,FLL
03140815,2,223,TUL,MCI
01161146,14,1333,MCI,SAN
03090825,0,989,MCO,MDW
01301620,-6,308,LAX,SJC
01042051,0,361,ONT,OAK
03212025,-11,590,LAX,SLC
02152200,43,495,BWI,SDF
03292030,7,1048,MCI,TPA
02021335,5,229,MDW,DTW
02021755,26,283,BDL,BWI
03261305,0,328,ABQ,PHX
02022158,29,304,SAN,PHX
02221600,10,590,SLC,LAX
01081605,-1,229,DTW,MDW
01171002,13,248,SAT,DAL
02241818,28,328,PVD,BWI
03170840,34,256,LAS,PHX
02122000,-5,487,ABQ,LAS
03082040,135,417,SAN,SJC
01231055,5,395,BNA,MDW
03151100,3,256,LAS,PHX
03111111,11,303,HOU,MSY
01070645,-6,251,STL,MDW
03311652,85,666,MDW,JAN
03270900,0,1034,ISP,TPA
03252105,5,328,BWI,PVD
02081030,7,1444,MDW,PHX
03141355,2,358,BUR,SMF
03201700,-7,337,OAK,LAX
01160750,4,689,SEA,SLC
01100635,-11,588,BWI,BNA
01070945,-9,180,RNO,OAK
01092035,19,453,HOU,TUL
01131130,-1,239,DAL,HOU
01051125,-7,496,SAT,ELP
01191640,25,239,HOU,DAL
01191635,45,471,BNA,MSY
03042148,68,842,TPA,BWI
03311705,25,550,MCO,MSY
03041235,-4,370,LAX,PHX
01011205,-5,373,LAX,SMF
01291353,11,223,BUR,LAS
01221425,-9,677,LAX,ABQ
01220915,-16,1073,MCO,PVD
01201306,-2,590,SLC,LAX
02041155,-8,997,TPA,MDW
01200845,-4,296,STL,LIT
