date,delay,distance,origin,destination
02242019,0,368,LAS,SLC
01281800,-5,337,OAK,LAX
02241723,75,714,ELP,LAX
03221045,17,237,TUL,DAL
03030910,-3,1442,SMF,MCI
02242347,113,588,BNA,BWI
01011648,15,765,MDW,ISP
03220755,3,283,BWI,BDL
01091416,26,584,LAS,ELP
02131100,14,1912,BUF,PHX
02030730,45,550,MSY,MCO
03271440,-2,303,MSY,HOU
03022025,3,178,MCO,FLL
02251735,0,318,FLL,JAX
01240752,11,248,DAL,SAT
02111955,0,479,PDX,SMF
03131655,3,446,OAK,SAN
03221030,-5,370,PHX,LAX
03271200,-15,337,OAK,LAX
03051528,22,1009,PHX,PDX
03051340,12,224,SEA,GEG
03011630,48,217,DAL,IAH
01151515,5,405,MDW,MCI
03111540,-2,590,LAX,SLC
03051456,74,368,SLC,LAS
03231556,12,328,PVD,BWI
01161945,-6,495,BWI,SDF
03202020,31,446,OAK,SAN
03161915,8,371,SNA,OAK
01300815,0,217,IAH,DAL
01251750,-12,177,BHM,BNA
03060905,-3,487,MSY,TPA
01281810,-8,688,IND,JAX
01041950,-5,495,BWI,SDF
01080730,-6,337,LAX,OAK
02262120,25,328,PHX,ABQ
01201550,-11,271,MDW,SDF
03021805,46,307,CLE,MDW
01191625,3,248,DAL,SAT
03022340,103,407,LAS,OAK
01121935,62,254,STL,SDF
02060645,7,296,SJC,BUR
01181320,-7,181,DAL,OKC
01251755,20,370,LAX,PHX
03282145,14,337,LAX,OAK
01281205,0,223,BUR,LAS
01171643,28,564,SEA,RNO
02071745,38,321,MSY,BHM
02260845,-2,148,AUS,HOU
01251345,12,671,OAK,SEA
02021410,-7,371,SNA,OAK
03161615,74,296,DAL,LIT
03092035,-2,405,MCI,MDW
03262120,-1,237,DAL,TUL
01221040,-7,313,MCI,OKC
01070730,0,239,HOU,DAL
02181506,-2,843,PHX,SAT
03190708,8,528,ELP,AUS
01170745,-14,997,MDW,TPA
03200800,-12,1140,MCI,LAS
02262035,-15,281,BUF,BWI
01071518,19,446,SAN,OAK
03242100,15,405,MCI,MDW
03090800,-18,671,SEA,OAK
01251440,-3,479,PDX,SMF
01041050,0,333,SJC,ONT
03021208,6,162,IND,MDW
01101955,-2,377,MHT,BWI
02070905,17,1751,BNA,SAN
03161125,4,1020,PHX,HOU
03190730,-4,471,MSY,BNA
02020900,23,670,BNA,HOU
02260940,3,319,MAF,DAL
03300630,-13,407,OAK,LAS
03121550,-3,371,OAK,SNA
02250900,4,370,LAX,PHX
01161330,-5,337,OAK,LAX
02170925,-1,410,STL,BHM
01121508,21,671,SEA,OAK
01062100,10,756,BNA,AUS
02141100,0,189,DAL,AUS
02250625,5,451,TUS,LAX
02261958,5,1489,MCI,OAK
02100700,-19,588,BNA,BWI
02251726,7,187,HOU,CRP
03271830,-5,1069,LAS,SAT
02141720,3,520,LAS,BOI
02211815,5,223,ELP,ABQ
02040810,-9,328,ABQ,PHX
02211640,-7,687,HOU,STL
01111150,10,304,PHX,SAN
03232050,-3,621,PHX,SJC
03161838,83,550,MSY,MCO
01070855,0,395,MDW,BNA
03110825,-8,296,BUR,SJC
01161410,5,491,MCI,BNA
02071930,-2,237,MCI,STL
01061638,-13,1797,BNA,LAX
03311615,-6,480,SMF,SAN
01312025,-8,325,BUR,OAK
02191311,13,276,HRL,HOU
01231615,-5,319,MAF,DAL
01280820,-5,872,PHX,AUS
03282155,-15,397,SMF,LAS
03050625,-15,258,SAN,LAS
01170615,10,453,TUL,HOU
02201615,0,448,CLE,BNA
02261645,-5,181,OKC,DAL
03161325,6,389,ONT,SMF
01161110,-11,612,TPA,BNA
02131252,52,393,HOU,LIT
01022150,51,480,SMF,SAN
02201040,8,708,IND,MSY
03041800,4,410,CMH,STL
01141250,-2,276,HOU,HRL
01061140,-1,251,STL,MDW
01271420,2,283,BWI,BDL
03061750,25,423,OMA,MDW
01051735,-7,296,LIT,DAL
03241544,13,423,OMA,MDW
01281620,-17,308,SJC,LAX
02040740,22,308,SJC,LAX
01010805,-8,822,SAT,BNA
01181005,-12,677,ABQ,LAX
02141633,25,833,PHX,OKC
03152015,33,419,HOU,OKC
02191933,136,337,OAK,LAX
01141930,8,1236,MCI,MHT
01191610,-2,319,MAF,DAL
03310640,-10,507,SLC,PHX
01111220,-8,496,ELP,SAT
02171326,4,671,SEA,OAK
03290945,12,471,BNA,MSY
03261518,25,220,BWI,ISP
03011942,-2,108,ISP,PVD
01160800,8,288,BWI,ALB
03240755,-2,236,LAS,LAX
01151743,18,842,BWI,TPA
01112000,40,251,STL,MDW
02171608,20,446,SAN,OAK
01210700,-10,258,LAS,SAN
03042153,5,507,SLC,PHX
02032025,5,787,BWI,MCO
03251505,5,714,ELP,LAX
03011923,20,471,MSY,BNA
01101735,5,515,BWI,IND
01211025,-13,162,MDW,IND
02221110,-4,358,BUR,SMF
03261640,-6,1235,LAS,HOU
03082125,113,180,OAK,RNO
03051333,-8,342,SNA,SJC
03011440,13,580,ABQ,DAL
03101325,-5,335,BOI,RNO
03170830,20,1448,BNA,PHX
01041339,20,1107,PHX,SEA
01171057,18,192,SAT,HOU
